id;code;name;label
1;Bouvet Borders Iowa;Human;Burundi Tools
2;Soft;Virginia monitoring;Frozen Cotton Rubber
3;enhance;bluetooth Administrator;Avon Robust Legacy
4;navigating;infomediaries neural-net JSON;engineer connect
5;Dirham Implemented;Integration Toys Dollar;navigating
6;pixel Verde primary;bus;circuit Specialist Myanmar
7;AGP parsing evolve;capacitor HDD;Nauru
8;Qatar;Accountability client-server Branch;Books Lead Rubber
9;platforms Cambridgeshire Producer;Avon Money;platforms Cotton Convertible
10;Health Shilling;Factors;bypassing neural override
