id;name;label;etape_definition_id;display;jhi_order
1;Bolivia;Roads mindshare;Buckinghamshire;true;60552
2;grey firewall;regional EXE;virtual back-end;false;9689
3;magenta SAS;Sleek Global Factors;connecting;true;82073
4;Bedfordshire innovative withdrawal;Books;Village reinvent USB;true;31662
5;Baby;Personal;Burg transition;false;83471
6;deposit;Planner Colorado Creative;Account;true;65701
7;ivory;coherent Engineer Leone;Awesome Dirham;true;10575
8;withdrawal;Vision-oriented Wisconsin Slovenia;Legacy Dollar Cambridgeshire;true;666
9;lavender Baby Steel;Keys composite;maroon Dalasi;false;26445
10;Reduced Vista Interactions;open-source;Cambridgeshire Plastic clear-thinking;false;89378
