id;name;label;offre_id
1;firmware Berkshire;Unbranded AI;metrics
2;Italy navigate;Loti;quantify Cotton embrace
3;Chair;pixel Borders Steel;Future
4;copying;monitor e-services;Pines
5;homogeneous connect Ball;Metal Gorgeous ivory;1080p
6;Tasty Account Directives;Tasty New pink;Cambridgeshire Latvia Marketing
7;dedicated Orchestrator monitor;deliverables invoice;Customer navigating feed
8;Mexico Analyst;back-end;black Wooden
9;Monitored Rustic;Uruguay Response connecting;copy Avon Persistent
10;Corporate reinvent multi-byte;Rustic value-added Practical;Sleek
